Author,Kierstead,,,,,,,,,,
DOI,10.1016/0022-5088(81)90159-4,,,,,,,,,,
Location,Figure 1,,,,,,,,,,
,,,,,,,,,,,
Abs/Des,Des,,Des,,Des,,Des,,Des,,
,0.479564,0.028016035,0.441061,0.0438075,0.40998,0.11946,0.23093,0.08391,0.268529235,0.215727164,
,0.470151,0.021819167,0.413376,0.0361014,0.39155,0.10697,0.13930,0.08427,0.231902174,0.222197777,
,0.453782,0.015637177,0.383484,0.0323443,0.37766,0.09314,0.05219,0.08004,0.206674351,0.216357471,
,0.430624,0.012186288,0.353453,0.0252146,0.35459,0.07890,0.02464,0.07580,0.149456681,0.229357609,
,0.398413,0.010619603,0.335014,0.0225783,0.33607,0.06500,0.01283,0.05282,0.087546427,0.21757659,
,0.366146,0.008753407,0.316299,0.0153070,0.32213,0.05353,0.00543,0.03114,0.037118467,0.212109716,
,0.347542,0.006633035,0.299958,0.0112796,0.30813,0.04170,0.00744,0.02358,0.016334063,0.179671323,
,0.319829,0.005316223,0.288365,0.0098199,0.29877,0.03433,0.00255,0.01736,0.015891106,0.115115649,
,0.298740,0.003315867,0.274509,0.0087913,0.28263,0.03074,0.00217,0.01176,0.006062983,0.059061637,
,0.282399,0.002443438,0.246963,0.0083262,0.23904,0.02914,0.00407,0.00797,0.003246049,0.034814161,
,0.270779,0.002068864,0.212571,0.0081109,0.20926,0.02918,,,0.002747722,0.021098106,
,0.243260,0.002014703,0.178263,0.0085890,0.17490,0.02922,,,0.00211097,0.011125279,
,0.144750,0.002024086,0.153007,0.0081337,0.07413,0.03019,,,,,
,0.080604,0.002030219,0.118588,0.0077059,0.05116,0.02859,,,,,
,0.053030,0.001870053,0.091152,0.0081575,0.01909,0.02863,,,,,
,0.030066,0.001770742,0.054498,0.0081716,0.00968,0.02230,,,,,
,0.013891,0.001541926,0.024716,0.0081831,0.00705,0.01597,,,,,
,0.011212,0.001044562,0.015330,0.0065529,0.00904,0.01176,,,,,
,0.003814,0.000615855,0.010416,0.0046937,0.00647,0.00890,,,,,
,0.005717,0.000417114,0.010057,0.0032691,0.00619,0.00674,,,,,
,0.005302,0.000274786,0.007406,0.0022771,0.00128,0.00483,,,,,
,,,0.007212,0.0018741,,,,,,,
,,,0.006880,0.0013421,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
